id_item,id_venda,id_produto,nome_produto,categoria,quantidade,preco_unitario,custo_unitario,subtotal,lucro_bruto,data_venda,ano,mes,ano_mes,dia_semana,regiao,canal,metodo_pagamento,status,valor_bruto,desconto,valor_liquido,custo_total,lucro_liquido
11,10,7,Mesa Regulavel Eletrica,Moveis & Escritorio,5,2199.0,1350.0,10995.0,4245.0,2023-01-01,2023,1,2023-01,Sunday,Sao Paulo,E-commerce Proprio,PIX,Concluido,10995.0,0.0,10995.0,6750.0,4245.0
12,11,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-01,2023,1,2023-01,Sunday,Rio de Janeiro,E-commerce Proprio,Cartao de Credito,Concluido,3899.0,0.0,3899.0,2600.0,1299.0
13,12,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-01,2023,1,2023-01,Sunday,Minas Gerais,Marketplace,Cartao de Credito,Concluido,1490.0,0.0,1490.0,350.0,1140.0
14,13,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-01,2023,1,2023-01,Sunday,Minas Gerais,E-commerce Proprio,PIX,Concluido,2199.0,0.0,2199.0,1350.0,849.0
15,14,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,2,489.0,310.0,978.0,358.0,2023-01-02,2023,1,2023-01,Monday,Rio de Janeiro,E-commerce Proprio,Faturamento B2B,Concluido,3667.9,0.0,3667.9,2355.0,1312.9
16,14,2,Monitor UltraWide 29 LG,Eletronicos & TI,2,1250.0,820.0,2500.0,860.0,2023-01-02,2023,1,2023-01,Monday,Rio de Janeiro,E-commerce Proprio,Faturamento B2B,Concluido,3667.9,0.0,3667.9,2355.0,1312.9
17,14,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-02,2023,1,2023-01,Monday,Rio de Janeiro,E-commerce Proprio,Faturamento B2B,Concluido,3667.9,0.0,3667.9,2355.0,1312.9
18,15,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-02,2023,1,2023-01,Monday,Bahia,Vendas B2B Corporativo,PIX,Concluido,1490.0,148.78,1341.22,350.0,991.22
19,16,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,1,489.0,310.0,489.0,179.0,2023-01-02,2023,1,2023-01,Monday,Sao Paulo,Marketplace,PIX,Concluido,7086.0,0.0,7086.0,4360.0,2726.0
20,16,7,Mesa Regulavel Eletrica,Moveis & Escritorio,3,2199.0,1350.0,6597.0,2547.0,2023-01-02,2023,1,2023-01,Monday,Sao Paulo,Marketplace,PIX,Concluido,7086.0,0.0,7086.0,4360.0,2726.0
21,17,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-02,2023,1,2023-01,Monday,Minas Gerais,Vendas B2B Corporativo,Cartao de Credito,Concluido,2199.0,0.0,2199.0,1350.0,849.0
22,18,2,Monitor UltraWide 29 LG,Eletronicos & TI,1,1250.0,820.0,1250.0,430.0,2023-01-02,2023,1,2023-01,Monday,Bahia,E-commerce Proprio,Cartao de Credito,Concluido,2507.9,223.14,2284.76,1580.0,704.76
23,18,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,2,489.0,310.0,978.0,358.0,2023-01-02,2023,1,2023-01,Monday,Bahia,E-commerce Proprio,Cartao de Credito,Concluido,2507.9,223.14,2284.76,1580.0,704.76
24,18,8,Webcam Full HD 1080p,Audio & Video,1,279.9,140.0,279.9,139.89999999999998,2023-01-02,2023,1,2023-01,Monday,Bahia,E-commerce Proprio,Cartao de Credito,Concluido,2507.9,223.14,2284.76,1580.0,704.76
25,19,10,Licenca Software Cloud BI (Anual),Software & Servicos,2,1490.0,350.0,2980.0,2280.0,2023-01-02,2023,1,2023-01,Monday,Minas Gerais,Marketplace,Cartao de Credito,Concluido,2980.0,296.88,2683.12,700.0,1983.12
26,20,6,Cadeira Ergonomica Pro,Moveis & Escritorio,1,1199.0,680.0,1199.0,519.0,2023-01-02,2023,1,2023-01,Monday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,1199.0,0.0,1199.0,680.0,519.0
27,21,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-02,2023,1,2023-01,Monday,Rio de Janeiro,E-commerce Proprio,PIX,Concluido,429.0,0.0,429.0,230.0,199.0
28,22,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-03,2023,1,2023-01,Tuesday,Distrito Federal,Marketplace,PIX,Concluido,3899.0,0.0,3899.0,2600.0,1299.0
29,23,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-03,2023,1,2023-01,Tuesday,Parana,E-commerce Proprio,Cartao de Credito,Concluido,1490.0,0.0,1490.0,350.0,1140.0
30,24,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-03,2023,1,2023-01,Tuesday,Sao Paulo,App Mobile,PIX,Concluido,429.0,24.28,404.72,230.0,174.72
31,25,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,3,489.0,310.0,1467.0,537.0,2023-01-03,2023,1,2023-01,Tuesday,Distrito Federal,E-commerce Proprio,Cartao de Credito,Concluido,2026.8,0.0,2026.8,1210.0,816.8
32,25,8,Webcam Full HD 1080p,Audio & Video,2,279.9,140.0,559.8,279.79999999999995,2023-01-03,2023,1,2023-01,Tuesday,Distrito Federal,E-commerce Proprio,Cartao de Credito,Concluido,2026.8,0.0,2026.8,1210.0,816.8
33,26,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-03,2023,1,2023-01,Tuesday,Bahia,Marketplace,Cartao de Credito,Concluido,429.0,0.0,429.0,230.0,199.0
34,27,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-03,2023,1,2023-01,Tuesday,Bahia,E-commerce Proprio,Faturamento B2B,Concluido,2628.0,0.0,2628.0,1580.0,1048.0
35,27,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-03,2023,1,2023-01,Tuesday,Bahia,E-commerce Proprio,Faturamento B2B,Concluido,2628.0,0.0,2628.0,1580.0,1048.0
36,28,3,Teclado Mecanico RGB,Perifericos & Acessorios,2,349.9,180.0,699.8,339.79999999999995,2023-01-03,2023,1,2023-01,Tuesday,Minas Gerais,E-commerce Proprio,Boleto Bancario,Concluido,699.8,0.0,699.8,360.0,339.8
37,29,8,Webcam Full HD 1080p,Audio & Video,1,279.9,140.0,279.9,139.89999999999998,2023-01-03,2023,1,2023-01,Tuesday,Sao Paulo,Vendas B2B Corporativo,Cartao de Credito,Concluido,1719.8,0.0,1719.8,1055.0,664.8
38,29,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-03,2023,1,2023-01,Tuesday,Sao Paulo,Vendas B2B Corporativo,Cartao de Credito,Concluido,1719.8,0.0,1719.8,1055.0,664.8
39,29,2,Monitor UltraWide 29 LG,Eletronicos & TI,1,1250.0,820.0,1250.0,430.0,2023-01-03,2023,1,2023-01,Tuesday,Sao Paulo,Vendas B2B Corporativo,Cartao de Credito,Concluido,1719.8,0.0,1719.8,1055.0,664.8
40,30,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-03,2023,1,2023-01,Tuesday,Sao Paulo,App Mobile,PIX,Concluido,1490.0,0.0,1490.0,350.0,1140.0
41,31,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-03,2023,1,2023-01,Tuesday,Parana,E-commerce Proprio,Cartao de Credito,Concluido,189.9,0.0,189.9,95.0,94.9
42,32,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,2,489.0,310.0,978.0,358.0,2023-01-03,2023,1,2023-01,Tuesday,Sao Paulo,E-commerce Proprio,PIX,Concluido,978.0,111.04,866.96,620.0,246.96
43,33,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-03,2023,1,2023-01,Tuesday,Sao Paulo,Marketplace,Cartao de Credito,Concluido,189.9,0.0,189.9,95.0,94.9
44,34,7,Mesa Regulavel Eletrica,Moveis & Escritorio,3,2199.0,1350.0,6597.0,2547.0,2023-01-03,2023,1,2023-01,Tuesday,Rio Grande do Sul,Marketplace,PIX,Concluido,6597.0,0.0,6597.0,4050.0,2547.0
45,35,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,5,489.0,310.0,2445.0,895.0,2023-01-03,2023,1,2023-01,Tuesday,Sao Paulo,App Mobile,Boleto Bancario,Concluido,2445.0,0.0,2445.0,1550.0,895.0
46,36,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-04,2023,1,2023-01,Wednesday,Distrito Federal,E-commerce Proprio,Cartao de Credito,Concluido,3899.0,460.89,3438.11,2600.0,838.11
47,37,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,2,489.0,310.0,978.0,358.0,2023-01-04,2023,1,2023-01,Wednesday,Minas Gerais,Marketplace,Cartao de Credito,Concluido,3177.0,250.31,2926.69,1970.0,956.69
48,37,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-04,2023,1,2023-01,Wednesday,Minas Gerais,Marketplace,Cartao de Credito,Concluido,3177.0,250.31,2926.69,1970.0,956.69
49,38,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-04,2023,1,2023-01,Wednesday,Rio de Janeiro,App Mobile,Cartao de Credito,Concluido,2388.9,264.05,2124.85,1445.0,679.85
50,38,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-04,2023,1,2023-01,Wednesday,Rio de Janeiro,App Mobile,Cartao de Credito,Concluido,2388.9,264.05,2124.85,1445.0,679.85
51,39,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-04,2023,1,2023-01,Wednesday,Distrito Federal,App Mobile,PIX,Concluido,678.9,0.0,678.9,405.0,273.9
52,39,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,1,489.0,310.0,489.0,179.0,2023-01-04,2023,1,2023-01,Wednesday,Distrito Federal,App Mobile,PIX,Concluido,678.9,0.0,678.9,405.0,273.9
53,40,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-04,2023,1,2023-01,Wednesday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,429.0,0.0,429.0,230.0,199.0
54,41,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-04,2023,1,2023-01,Wednesday,Sao Paulo,E-commerce Proprio,PIX,Concluido,3899.0,0.0,3899.0,2600.0,1299.0
55,42,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,1,489.0,310.0,489.0,179.0,2023-01-04,2023,1,2023-01,Wednesday,Parana,Marketplace,Cartao de Credito,Concluido,1688.0,157.75,1530.25,990.0,540.25
56,42,6,Cadeira Ergonomica Pro,Moveis & Escritorio,1,1199.0,680.0,1199.0,519.0,2023-01-04,2023,1,2023-01,Wednesday,Parana,Marketplace,Cartao de Credito,Concluido,1688.0,157.75,1530.25,990.0,540.25
57,43,2,Monitor UltraWide 29 LG,Eletronicos & TI,2,1250.0,820.0,2500.0,860.0,2023-01-04,2023,1,2023-01,Wednesday,Sao Paulo,Marketplace,Cartao de Credito,Concluido,2500.0,0.0,2500.0,1640.0,860.0
58,44,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-04,2023,1,2023-01,Wednesday,Minas Gerais,E-commerce Proprio,PIX,Concluido,189.9,0.0,189.9,95.0,94.9
59,45,2,Monitor UltraWide 29 LG,Eletronicos & TI,1,1250.0,820.0,1250.0,430.0,2023-01-04,2023,1,2023-01,Wednesday,Sao Paulo,Vendas B2B Corporativo,PIX,Concluido,1250.0,0.0,1250.0,820.0,430.0
60,46,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-04,2023,1,2023-01,Wednesday,Sao Paulo,Marketplace,PIX,Concluido,189.9,0.0,189.9,95.0,94.9
61,47,3,Teclado Mecanico RGB,Perifericos & Acessorios,1,349.9,180.0,349.9,169.89999999999998,2023-01-04,2023,1,2023-01,Wednesday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,349.9,0.0,349.9,180.0,169.9
62,48,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-04,2023,1,2023-01,Wednesday,Rio de Janeiro,Marketplace,PIX,Concluido,1490.0,0.0,1490.0,350.0,1140.0
63,49,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-04,2023,1,2023-01,Wednesday,Distrito Federal,Marketplace,Cartao de Credito,Concluido,3899.0,0.0,3899.0,2600.0,1299.0
64,50,7,Mesa Regulavel Eletrica,Moveis & Escritorio,2,2199.0,1350.0,4398.0,1698.0,2023-01-04,2023,1,2023-01,Wednesday,Rio de Janeiro,E-commerce Proprio,Faturamento B2B,Concluido,4398.0,0.0,4398.0,2700.0,1698.0
65,51,3,Teclado Mecanico RGB,Perifericos & Acessorios,1,349.9,180.0,349.9,169.89999999999998,2023-01-05,2023,1,2023-01,Thursday,Sao Paulo,App Mobile,PIX,Concluido,349.9,0.0,349.9,180.0,169.9
66,52,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-05,2023,1,2023-01,Thursday,Minas Gerais,E-commerce Proprio,Cartao de Credito,Concluido,2199.0,0.0,2199.0,1350.0,849.0
67,53,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,2,489.0,310.0,978.0,358.0,2023-01-05,2023,1,2023-01,Thursday,Rio de Janeiro,E-commerce Proprio,Boleto Bancario,Concluido,2177.0,227.94,1949.06,1300.0,649.06
68,53,6,Cadeira Ergonomica Pro,Moveis & Escritorio,1,1199.0,680.0,1199.0,519.0,2023-01-05,2023,1,2023-01,Thursday,Rio de Janeiro,E-commerce Proprio,Boleto Bancario,Concluido,2177.0,227.94,1949.06,1300.0,649.06
69,54,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-05,2023,1,2023-01,Thursday,Parana,Vendas B2B Corporativo,PIX,Concluido,2199.0,0.0,2199.0,1350.0,849.0
70,55,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-05,2023,1,2023-01,Thursday,Parana,Marketplace,Cartao de Credito,Concluido,5389.0,568.98,4820.02,2950.0,1870.02
71,55,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-05,2023,1,2023-01,Thursday,Parana,Marketplace,Cartao de Credito,Concluido,5389.0,568.98,4820.02,2950.0,1870.02
72,56,6,Cadeira Ergonomica Pro,Moveis & Escritorio,1,1199.0,680.0,1199.0,519.0,2023-01-05,2023,1,2023-01,Thursday,Rio de Janeiro,Vendas B2B Corporativo,PIX,Concluido,1199.0,0.0,1199.0,680.0,519.0
73,57,3,Teclado Mecanico RGB,Perifericos & Acessorios,1,349.9,180.0,349.9,169.89999999999998,2023-01-05,2023,1,2023-01,Thursday,Rio de Janeiro,E-commerce Proprio,Cartao de Credito,Concluido,349.9,0.0,349.9,180.0,169.9
74,58,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-05,2023,1,2023-01,Thursday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,4328.0,0.0,4328.0,2830.0,1498.0
75,58,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-05,2023,1,2023-01,Thursday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,4328.0,0.0,4328.0,2830.0,1498.0
76,59,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-05,2023,1,2023-01,Thursday,Minas Gerais,E-commerce Proprio,Boleto Bancario,Concluido,2689.0,0.0,2689.0,1030.0,1659.0
77,59,6,Cadeira Ergonomica Pro,Moveis & Escritorio,1,1199.0,680.0,1199.0,519.0,2023-01-05,2023,1,2023-01,Thursday,Minas Gerais,E-commerce Proprio,Boleto Bancario,Concluido,2689.0,0.0,2689.0,1030.0,1659.0
78,60,2,Monitor UltraWide 29 LG,Eletronicos & TI,1,1250.0,820.0,1250.0,430.0,2023-01-05,2023,1,2023-01,Thursday,Rio de Janeiro,E-commerce Proprio,Faturamento B2B,Concluido,1739.0,182.85,1556.15,1130.0,426.15
79,60,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,1,489.0,310.0,489.0,179.0,2023-01-05,2023,1,2023-01,Thursday,Rio de Janeiro,E-commerce Proprio,Faturamento B2B,Concluido,1739.0,182.85,1556.15,1130.0,426.15
80,61,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-05,2023,1,2023-01,Thursday,Sao Paulo,E-commerce Proprio,Boleto Bancario,Concluido,3118.0,0.0,3118.0,1260.0,1858.0
81,61,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-05,2023,1,2023-01,Thursday,Sao Paulo,E-commerce Proprio,Boleto Bancario,Concluido,3118.0,0.0,3118.0,1260.0,1858.0
82,61,6,Cadeira Ergonomica Pro,Moveis & Escritorio,1,1199.0,680.0,1199.0,519.0,2023-01-05,2023,1,2023-01,Thursday,Sao Paulo,E-commerce Proprio,Boleto Bancario,Concluido,3118.0,0.0,3118.0,1260.0,1858.0
83,62,3,Teclado Mecanico RGB,Perifericos & Acessorios,1,349.9,180.0,349.9,169.89999999999998,2023-01-05,2023,1,2023-01,Thursday,Bahia,E-commerce Proprio,PIX,Concluido,349.9,41.91,307.99,180.0,127.99
84,63,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-05,2023,1,2023-01,Thursday,Minas Gerais,E-commerce Proprio,PIX,Concluido,2199.0,0.0,2199.0,1350.0,849.0
85,64,1,Notebook Dell Inspiron 15,Eletronicos & TI,1,3899.0,2600.0,3899.0,1299.0,2023-01-05,2023,1,2023-01,Thursday,Rio de Janeiro,Marketplace,PIX,Concluido,3899.0,237.57,3661.43,2600.0,1061.43
86,65,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-05,2023,1,2023-01,Thursday,Minas Gerais,E-commerce Proprio,Cartao de Credito,Concluido,189.9,12.73,177.17,95.0,82.17
87,66,6,Cadeira Ergonomica Pro,Moveis & Escritorio,1,1199.0,680.0,1199.0,519.0,2023-01-05,2023,1,2023-01,Thursday,Rio Grande do Sul,Vendas B2B Corporativo,Cartao de Credito,Concluido,1199.0,0.0,1199.0,680.0,519.0
88,67,3,Teclado Mecanico RGB,Perifericos & Acessorios,1,349.9,180.0,349.9,169.89999999999998,2023-01-06,2023,1,2023-01,Friday,Minas Gerais,E-commerce Proprio,PIX,Concluido,349.9,0.0,349.9,180.0,169.9
89,68,8,Webcam Full HD 1080p,Audio & Video,1,279.9,140.0,279.9,139.89999999999998,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,Marketplace,Faturamento B2B,Concluido,279.9,26.63,253.27,140.0,113.27
90,69,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,App Mobile,PIX,Concluido,2199.0,0.0,2199.0,1350.0,849.0
91,70,7,Mesa Regulavel Eletrica,Moveis & Escritorio,2,2199.0,1350.0,4398.0,1698.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,4887.0,0.0,4887.0,3010.0,1877.0
92,70,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,1,489.0,310.0,489.0,179.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,E-commerce Proprio,Cartao de Credito,Concluido,4887.0,0.0,4887.0,3010.0,1877.0
93,71,1,Notebook Dell Inspiron 15,Eletronicos & TI,2,3899.0,2600.0,7798.0,2598.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,E-commerce Proprio,PIX,Concluido,7798.0,0.0,7798.0,5200.0,2598.0
94,72,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-06,2023,1,2023-01,Friday,Bahia,E-commerce Proprio,Faturamento B2B,Concluido,1490.0,0.0,1490.0,350.0,1140.0
95,73,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-06,2023,1,2023-01,Friday,Parana,E-commerce Proprio,Cartao de Credito,Concluido,618.9,0.0,618.9,325.0,293.9
96,73,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-06,2023,1,2023-01,Friday,Parana,E-commerce Proprio,Cartao de Credito,Concluido,618.9,0.0,618.9,325.0,293.9
97,74,2,Monitor UltraWide 29 LG,Eletronicos & TI,1,1250.0,820.0,1250.0,430.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,App Mobile,Cartao de Credito,Concluido,2168.0,0.0,2168.0,1360.0,808.0
98,74,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,1,489.0,310.0,489.0,179.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,App Mobile,Cartao de Credito,Concluido,2168.0,0.0,2168.0,1360.0,808.0
99,74,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,App Mobile,Cartao de Credito,Concluido,2168.0,0.0,2168.0,1360.0,808.0
100,75,3,Teclado Mecanico RGB,Perifericos & Acessorios,1,349.9,180.0,349.9,169.89999999999998,2023-01-06,2023,1,2023-01,Friday,Minas Gerais,Marketplace,Cartao de Credito,Concluido,349.9,0.0,349.9,180.0,169.9
101,76,10,Licenca Software Cloud BI (Anual),Software & Servicos,1,1490.0,350.0,1490.0,1140.0,2023-01-06,2023,1,2023-01,Friday,Bahia,App Mobile,Boleto Bancario,Concluido,1490.0,87.08,1402.92,350.0,1052.92
102,77,3,Teclado Mecanico RGB,Perifericos & Acessorios,2,349.9,180.0,699.8,339.79999999999995,2023-01-06,2023,1,2023-01,Friday,Minas Gerais,E-commerce Proprio,PIX,Concluido,699.8,0.0,699.8,360.0,339.8
103,78,8,Webcam Full HD 1080p,Audio & Video,1,279.9,140.0,279.9,139.89999999999998,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,Vendas B2B Corporativo,Cartao de Credito,Concluido,708.9,0.0,708.9,370.0,338.9
104,78,5,Headset Gamer 7.1,Audio & Video,1,429.0,230.0,429.0,199.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,Vendas B2B Corporativo,Cartao de Credito,Concluido,708.9,0.0,708.9,370.0,338.9
105,79,7,Mesa Regulavel Eletrica,Moveis & Escritorio,1,2199.0,1350.0,2199.0,849.0,2023-01-06,2023,1,2023-01,Friday,Distrito Federal,Vendas B2B Corporativo,Cartao de Credito,Concluido,2199.0,116.43,2082.57,1350.0,732.57
106,80,1,Notebook Dell Inspiron 15,Eletronicos & TI,2,3899.0,2600.0,7798.0,2598.0,2023-01-06,2023,1,2023-01,Friday,Distrito Federal,E-commerce Proprio,Cartao de Credito,Concluido,7798.0,0.0,7798.0,5200.0,2598.0
107,81,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-06,2023,1,2023-01,Friday,Distrito Federal,Marketplace,Cartao de Credito,Concluido,189.9,19.86,170.04,95.0,75.04
108,82,9,SSD NVMe 1TB Kingston,Hardware & Armazenamento,5,489.0,310.0,2445.0,895.0,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,App Mobile,Boleto Bancario,Concluido,3194.7000000000003,0.0,3194.7,1925.0,1269.7
109,82,8,Webcam Full HD 1080p,Audio & Video,2,279.9,140.0,559.8,279.79999999999995,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,App Mobile,Boleto Bancario,Concluido,3194.7000000000003,0.0,3194.7,1925.0,1269.7
110,82,4,Mouse Sem Fio Ergonomico,Perifericos & Acessorios,1,189.9,95.0,189.9,94.9,2023-01-06,2023,1,2023-01,Friday,Sao Paulo,App Mobile,Boleto Bancario,Concluido,3194.7000000000003,0.0,3194.7,1925.0,1269.7
